YEAR,DOY,T2M,RH2M,WS2M,T2MDEW,avg_precip
2024,312,24.2,86.53,1.59,21.69,0.24348538926577712
2024,313,23.88,83.76,1.67,20.84,0.057216014734222866
2024,314,24.06,84.21,1.6,21.09,0.07025964560728452
2024,315,23.97,81.3,1.29,20.39,0.5669058676051207
2024,316,23.79,81.04,1.31,20.18,0.2270591363826181
2024,317,23.87,80.94,1.51,20.27,1.1020807557421566
2024,318,22.51,82.05,1.77,19.15,0.008397042722322393
2024,319,22.39,86.59,1.83,19.93,0.0006996033130183917
2024,320,22.09,84.71,1.59,19.29,0.004945906955283087
2024,321,21.72,83.3,1.53,18.6,0.0030454381976199063
2024,322,21.24,74.42,1.15,16.17,0.003362783940497656
2024,323,21.36,70.33,1.0,15.62,0.000551749003966823
2024,324,21.48,71.42,1.12,15.87,0.000497655955283087
2024,325,20.91,70.97,0.95,15.11,0.0021132346873422286
2024,326,21.36,68.48,1.05,15.18,0.007683014724486116
2024,327,21.54,69.44,1.09,15.63,0.02063108509376127
2024,328,21.85,76.74,1.12,17.44,0.0054742155427335015
2024,329,20.16,84.53,1.54,17.35,0.004212044629642986
2024,330,19.9,80.06,1.57,16.14,0.0007717273213126577
2024,331,19.95,81.29,1.46,16.48,0.007286332381175623
2024,332,20.58,81.38,1.27,17.09,0.06588351866245942
2024,333,20.65,80.64,1.37,17.05,0.19350883124269744
2024,334,21.58,81.14,1.42,18.01,0.10471690863505229
2024,335,21.69,82.06,1.47,18.32,0.5992859559913452
2024,336,19.99,82.6,1.6,16.82,0.03368914367724486
2024,337,19.99,82.34,1.61,16.71,0.015313739140281283
2024,338,19.87,81.67,1.82,16.44,0.013663901518932564
2024,339,19.31,80.58,1.58,15.71,0.0007771366516408221
2024,340,19.74,73.84,1.21,14.71,0.0009358095957446809
2024,341,18.22,76.46,1.76,13.64,0.004011900414352686
2024,342,17.93,72.3,1.5,12.52,0.00040750089542012264
2024,343,17.8,70.96,1.29,12.17,0.00011900467940858275
2024,344,17.15,79.53,1.11,13.41,0.022068156821492966
